,,,,,,,,,
db,download - pre,install - pre,uninstall,compile - pre,execute - pre,freeze - pre,poweroff - pre,kill - pre,profile - pre
neo4j,,"echo ""deb http://httpredir.debian.org/debian stretch-backports main"" | sudo tee -a /etc/apt/sources.list.d/stretch-backports.list
sudo apt-get update
sudo apt-get install openjdk-11-jre
sudo add-apt-repository -y ppa:openjdk-r/ppa
sudo apt-get update
sudo update-java-alternatives --jre --set <java11name>
wget -O - https://debian.neo4j.com/neotechnology.gpg.key | sudo apt-key add -
echo 'deb https://debian.neo4j.com stable latest' | sudo tee -a /etc/apt/sources.list.d/neo4j.list
sudo apt-get update
wget -O - https://debian.neo4j.com/neotechnology.gpg.key | sudo apt-key add -
echo 'deb https://debian.neo4j.com stable 4.3' | sudo tee -a /etc/apt/sources.list.d/neo4j.list
sudo apt-get update
sudo add-apt-repository universe
sudo apt-get install neo4j=1:4.3.2",,,,,,,
firebirdsql,,"sudo su
apt-get install firebird2.5-superclassic",,,,,,,
firebase,,,,,,,,,
4D,,,,,,,,,
Action PSQL,,,,,,,,,
ADABAS,,,,,,,,,
Adaptive Server Enterprise,,,,,,,,,
Altibase,,,,,,,,,
Amazon Aurora,,,,,,,,,
Amazon DocumentDB,,,,,,,,,
Amazon DynamoDB,,,,,,,,,
Amazon Redshift,,,,,,,,,
Amazon SimpleDB,,,,,,,,,
Apache Accumulo,,,,,,,,,
Apache Cassandra,,,,,,,,,
Apache Derby,,,,,,,,,
Apache Hbase,,,,,,,,,
ArangoDB,,,,,,,,,
Axisbase,,,,,,,,,
Bigtable,,,,,,,,,
Caché,,,,,,,,,
Cemstone/S,,,,,,,,,
Clusterpoint database,,,,,,,,,
Clustrix,,,,,,,,,
CockroachDB,,,,,,,,,
ConceptBase,,,,,,,,,
Cosmos DB,,,,,,,,,
CouchBase,,,,,,,,,
CouchDB,,,,,,,,,
CUBRID Database,,,,,,,,,
D3 Pick database,,,,,,,,,
Database .NET,,,,,,,,,
Database Labs,,,,,,,,,
Datacom,,,,,,,,,
Db4o,,,,,,,,,
dBase,,,,,,,,,
Dbeaver,,,,,,,,,
dbHarbor: SQLite,,,,,,,,,
DeepDB,,,,,,,,,
Empress Embedded Database,,,,,,,,,
EXASolution,,,,,,,,,
Extensible Storage Engine (ESE/NT),,,,,,,,,
FileMaker,,,,,,,,,
Firebird,,,,,,,,,
FlockDB,,,,,,,,,
Freebase,,,,,,,,,
Frontbase,,,,,,,,,
GemStone/S,,,,,,,,,
GigaSpaces,,,,,,,,,
GPUdb,,,,,,,,,
Greenplum Database,,,,,,,,,
H2 Database Engine,,,,,,,,,
HP NonStop SQL,,,,,,,,,
HSQLDB,,,,,,,,,
IBM Cloud NoSQL Database Service,,,,,,,,,
IBM DB2,,,,,,,,,
InfinityDB,,,,,,,,,
Informix,,,,,,,,,
Ingres,,,,,,,,,
Interbase,,,,,,,,,
JADE,,,,,,,,,
jBASE Pick database,,,,,,,,,
Kexi,,,,,,,,,
LibreOffice Base,,,,,,,,,
Linter SQL RDBMS,,,,,,,,,
LucidDB,,,,,,,,,
MariaDB,,,,,,,,,
MariaDB,,,,,,,,,
MarkLogic,,,,,,,,,
Matisse,,,,,,,,,
MaxDB,,,,,,,,,
MemSQL,,,,,,,,,
Micro Focus XDB Enterprise Server,,,,,,,,,
Microsoft Access,,,,,,,,,
Microsoft Azure SQL Database,,,,,,,,,
Microsoft SQL Server,,,,,,,,,
Microsoft Visual FoxPro,,,,,,,,,
Mimer SQL,,,,,,,,,
Mnesia,,,,,,,,,
MonetDB,,,,,,,,,
MongoDB,,,,,,,,,
mSQL,,,,,,,,,
mvBase,,,,,,,,,
mvEnterprise,,,,,,,,,
MySQL,,,,,,,,,
NexusDB,,,,,,,,,
NuoDB,,,,,,,,,
ObjectDatabase++,,,,,,,,,
ObjectDB,,,,,,,,,
ObjectStore,,,,,,,,,
ODABA,,,,,,,,,
Omnis Studio,,,,,,,,,
Open Sqlite,,,,,,,,,
OpenAccess,,,,,,,,,
OpenBase SQL,,,,,,,,,
OpenEdge Advanced Business Language (Progress 4GL),,,,,,,,,
OpenLink Virtuoso,,,,,,,,,
OpenQM,,,,,,,,,
Oracle Database,,,,,,,,,
Oracle TimesTen,,,,,,,,,
OrientDB,,,,,,,,,
Paradox,,,,,,,,,
Perst,,,,,,,,,
Pervasive PSQL,,,,,,,,,
Picolisp,,,,,,,,,
Polyhedra RDBMS,,,,,,,,,
PortaBase,,,,,,,,,
PostgreSQL,,,,,,,,,
Postres-XC,,,,,,,,,
Profium Sense,,,,,,,,,
R:Base,,,,,,,,,
Raima Database Manager,,,,,,,,,
RDM Server,,,,,,,,,
RethinkDB,,,,,,,,,
RSQL,,,,,,,,,
SAP HANA,,,,,,,,,
SAP MaxDB,,,,,,,,,
ScimoreDB,,,,,,,,,
Sequel Pro,,,,,,,,,
solidDB,,,,,,,,,
SQL Anywhere,,,,,,,,,
SQLBase,,,,,,,,,
SQLGate,,,,,,,,,
SQLite,,,,,,,,,
SQream DB,,,,,,,,,
Sqrrl Enterprise,,,,,,,,,
Starcounter,,,,,,,,,
Superbase,,,,,,,,,
Sybase Advantage Database Server,,,,,,,,,
Symphytum,,,,,,,,,
Tarantool,,,,,,,,,
Tecknolab Dbcloudbin,,,,,,,,,
Teradata,,,,,,,,,
TIBCO ActiveSpaces,,,,,,,,,
Tibero,,,,,,,,,
TiDB,,,,,,,,,
Titan Database,,,,,,,,,
Trafodion,,,,,,,,,
UniData,,,,,,,,,
Unisys RDMS 2200,,,,,,,,,
UnQLite,,,,,,,,,
Valentina Server,,,,,,,,,
Versant Object Database,,,,,,,,,
Vertica,,,,,,,,,
VistaDB,,,,,,,,,
VMDS,,,,,,,,,
VoltDB,,,,,,,,,
WakandaDB,,,,,,,,,
YugaByte DB,,,,,,,,,
Zope Object Database,,,,,,,,,
